Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label
1;0;-0.0012514556369888623;-0.00465940684303663;-0.008676486761795086;-0.014361044141179183;-0.07222220632763512;0.040210762224924305;-0.04475330806093985;-0.07816016975419021;1709997179138;Noise
2;0;-0.0236699427363619;-0.032782543994524266;-0.03847719487288764;-0.04276951783795774;-0.07444961018525141;0.02771075030398398;-0.04714245523686909;-0.08041084328731851;1709997179138;Noise
3;1;-0.045564912402142665;-0.044041971810513836;-0.04037677037080778;-0.03957546995102268;-0.07607734306082065;0.015985885606656654;-0.048888062370359774;-0.08201988412846005;1709997179185;Noise
4;1;-0.041171567097832984;-0.04169826776407337;-0.041667154646526594;-0.04275762296345009;-0.07736442314569773;0.00826760126838805;-0.050197649190568155;-0.08322151491309634;1709997179185;Noise
5;2;-0.04306932219330806;-0.04141382597618026;-0.04071769245077839;-0.04226968219662819;-0.07836463772262356;0.0020938893259900343;-0.05121235963092769;-0.08415535369429941;1709997179185;Noise
6;2;-0.042814392191666606;-0.04104800421178556;-0.040172240903858736;-0.0412295941675076;-0.07904670624418854;-0.0026886011968624084;-0.05203671649619722;-0.0848557327802017;1709997179185;Noise
7;3;-0.04115776187240883;-0.03947057284520028;-0.03932430906919926;-0.04061730040168143;-0.0795395656009346;-0.0064151825095963575;-0.052699711513244166;-0.08537796533390554;1709997179185;Noise
8;3;-0.03980520418405398;-0.03732698004316681;-0.037231033770897426;-0.039123253355061394;-0.07995994564051212;-0.009558877524259114;-0.05323529552011063;-0.08579681949312162;1709997179185;Noise
9;4;-0.0386398330576867;-0.03590916221594398;-0.03529302049318872;-0.036923151953949684;-0.08037727391936676;-0.012477505185609042;-0.05367818229501943;-0.08615082373697637;1709997179185;Noise
10;4;-0.036716470832903525;-0.03447022900797592;-0.03389231404781512;-0.03504558266156366;-0.08073967050520946;-0.01515580669003171;-0.054052022983572943;-0.08643845218510836;1709997179185;Noise
11;5;-0.034523420661518145;-0.03249668796112459;-0.03218695369589142;-0.03321234025713693;-0.08092735378966694;-0.01732637150418425;-0.05436673580812055;-0.08664253868345136;1709997179200;Noise
12;5;-0.03247488853632774;-0.03049259772206625;-0.030205129155469024;-0.03099120928915511;-0.08104179481677515;-0.01906129747514484;-0.0546158357771261;-0.08677681615525833;1709997179231;Noise
13;6;-0.03016244587147554;-0.02852225617910875;-0.028470498829769042;-0.028887718574466703;-0.08114898791216651;-0.020577641084328732;-0.05482984049781847;-0.08688439072074006;1709997179231;Noise
14;6;-0.027604622130716905;-0.026185242796508135;-0.02673477006194247;-0.027224018224693225;-0.0813172162220156;-0.02218630045537992;-0.05500913144028801;-0.08699158381613142;1709997179231;Noise
15;7;-0.025431105811669852;-0.023763631284495546;-0.02468351650736622;-0.02554955578084872;-0.08145912309562979;-0.023798393057244356;-0.05516896740814916;-0.08707970340700474;1709997179247;Noise
16;7;-0.02361982253822248;-0.02161432372490424;-0.022504685321663942;-0.02358078347978676;-0.08147705218987673;-0.025102639296187685;-0.05528493431561882;-0.08711289130486613;1709997179247;Noise
17;8;-0.02170826923551772;-0.019549127892403817;-0.02034927485229332;-0.021507873818080725;-0.08143242018930454;-0.026046014829649765;-0.05539365329137162;-0.08711823188613119;1709997179247;Noise
18;8;-0.01969425130150171;-0.017440848990190716;-0.01816313890290644;-0.01944019635637062;-0.08142135755668407;-0.026915766635672224;-0.055482535822425676;-0.08709419927043846;1709997179247;Noise
19;9;-0.01780033106543044;-0.015512720566022153;-0.016051622772025098;-0.01732781644500392;-0.0814774336599671;-0.027975109076603964;-0.05555043749850989;-0.08708199222754691;1709997179247;Noise
20;9;-0.015948659962759848;-0.01383900256618631;-0.014226861389758483;-0.015287349722299837;-0.08152549889135255;-0.029117230527143982;-0.055594306558901366;-0.0870724554752879;1709997179247;Noise
21;10;-0.013998032605300637;-0.012153705279928317;-0.012560614630785949;-0.013377591552071522;-0.08147514483942493;-0.029956083255847223;-0.0556522900126362;-0.08702858641489641;1709997179247;Noise
22;10;-0.011977896566307322;-0.010291615964717948;-0.010814853486465381;-0.011519885374127625;-0.08136833321412393;-0.030535154853014806;-0.055697303483298766;-0.0869656438499869;1709997179247;Noise
23;11;-0.010008611919573696;-0.00841128533508595;-0.009056792533129965;-0.009718955070184165;-0.08131569034165415;-0.031112319099730588;-0.055715232577545716;-0.08689125718236655;1709997179247;Noise
24;11;-0.008128622310380251;-0.00661908449868065;-0.007419485637569778;-0.00808156834588658;-0.08134468206852156;-0.03190272512695801;-0.055727821090527624;-0.08683289225854135;1709997179247;Noise
25;12;-0.006391369878883779;-0.004912873341652357;-0.005871873748759526;-0.006593418364360559;-0.08134773382924446;-0.0327644660610829;-0.05574269842405169;-0.08679245642896312;1709997179247;Noise
26;12;-0.004804241350171878;-0.0032575186194208072;-0.004286037699131384;-0.0050854312654848854;-0.0812462627852085;-0.033387025248551604;-0.05574689459504566;-0.0867207400519753;1709997179247;Noise
27;13;-0.003256407811363715;-0.0016249036054887256;-0.0026519189086116057;-0.003514389383866501;-0.08112609970674486;-0.0337940538349665;-0.055744987244593855;-0.08661926900793934;1709997179263;Noise
28;13;-0.0017055736276176958;-4.07758322751306e-05;-0.0010676959515762974;-0.0019862371379701926;-0.08103836158596191;-0.0341602651217128;-0.05574384283432277;-0.08653458264787926;1709997179263;Noise
29;14;-0.0002144764081606354;0.0014604841051095718;0.00041647417899071115;-0.0005850478952424965;-0.08102501013279928;-0.03475917316357914;-0.05573201726152159;-0.08647926948477697;1709997179263;Noise
30;14;0.0011136791269166224;0.0027910164979232377;0.0017693613046674272;0.0007286896159257594;-0.08100708103855232;-0.03546298548029469;-0.05571904727844933;-0.08641937868059033;1709997179263;Noise
31;15;0.0023580976515802377;0.004030058490883448;0.0030661938445462056;0.0020504490645123497;-0.08088920678063086;-0.03596194835848652;-0.05568509644040722;-0.08632401115800015;1709997179279;Noise
32;15;0.003643085114731548;0.005299589579209396;0.004382469715125126;0.0033986825746978866;-0.08073127816322152;-0.03618739718188971;-0.055661063824714495;-0.08620384807953652;1709997179279;Noise
33;16;0.004956006587860884;0.006573495891103676;0.005667728454454846;0.004691652356825671;-0.08061340390530006;-0.036432682449991656;-0.05563245356793744;-0.08609016999260902;1709997179294;Noise
34;16;0.0061962796957857336;0.00774496713853523;0.006818019945797005;0.0058411966834910345;-0.08059013422978804;-0.03692210857592447;-0.05560384331116039;-0.0860127315642658;1709997179294;Noise
35;17;0.007300182818681833;0.008773556240583957;0.007814589595056987;0.0068560380605617866;-0.08056915337481821;-0.037538945712037766;-0.05557027394320864;-0.08594330400782015;1709997179294;Noise
36;17;0.008315439401542335;0.0097505140158205;0.008774849951180386;0.007850544073846777;-0.08045394940752927;-0.037920415802398494;-0.05554509691724483;-0.08584908089550104;1709997179294;Noise
37;18;0.009344693743685184;0.010775029910973899;0.009782505792259144;0.008863101280041974;-0.08030860930310182;-0.03807109648809098;-0.05552220871182319;-0.08573540280857354;1709997179310;Noise
38;18;0.01037051030789371;0.011791695214355968;0.0107672342151659;0.009820506285393549;-0.08020942707960804;-0.03824733566983764;-0.05548673199341964;-0.08562782824309181;1709997179310;Noise
39;19;0.011317181487129346;0.012719486843138839;0.01164628556267644;0.010644856552687543;-0.0801972200367165;-0.03866390100851155;-0.055450873804925735;-0.08554810099420643;1709997179310;Noise
40;19;0.012115775473432677;0.01350965139897653;0.012409157882075306;0.011366111109396115;-0.08017585771165629;-0.039188422382757555;-0.055416541496793266;-0.08548515842929691;1709997179310;Noise
41;20;0.012820847466286978;0.014233381455824201;0.013148267051064977;0.012092312067636612;-0.08007171637698782;-0.03950275373721479;-0.05538716829983549;-0.08540009059914647;1709997179325;Noise
42;20;0.013537362295892308;0.014976165258474339;0.013921306835584346;0.012852607827881002;-0.07992637627256038;-0.039633979448298884;-0.05534558805998617;-0.0852879383925804;1709997179325;Noise
43;21;0.014265756485997372;0.01570647131086389;0.014670350228300322;0.01358137153044936;-0.07981613141644613;-0.03973926519323844;-0.05531163722194407;-0.08518455999809266;1709997179341;Noise
44;21;0.014945024013115926;0.016360033564069454;0.015316327234586424;0.014189367962273991;-0.07980468731373531;-0.04008945473618959;-0.05527959373435377;-0.08509872922776149;1709997179341;Noise
45;22;0.015489787356216311;0.0168708423458952;0.015832774252316995;0.014703817415067988;-0.07976921059533176;-0.04054912619507427;-0.055242209665498414;-0.08501137257706888;1709997179357;Noise
46;22;0.015975166644409455;0.017340346113371652;0.016324034728540937;0.015217503877352101;-0.0796532436878621;-0.04083751758338698;-0.05519261855375152;-0.08490761271249077;1709997179357;Noise
47;23;0.016482066682954155;0.01784141259219041;0.0168470987910041;0.015758564319128254;-0.07950866652361538;-0.04089016045585676;-0.055154853014805806;-0.08480461578809337;1709997179357;Noise
48;23;0.017008692088097632;0.018347815061076744;0.017351559494613866;0.016257080153877723;-0.07939613284695897;-0.0409557733113988;-0.05511289130486613;-0.08470085592351526;1709997179357;Noise
49;24;0.017477522756223607;0.018779997454942077;0.017756382131040027;0.016634993463924275;-0.07937477052189877;-0.0412704861359464;-0.055074362825739694;-0.08462112867462986;1709997179373;Noise
50;24;0.017819807831926937;0.01908783789269819;0.018043328056478458;0.01691178384385239;-0.07934043821376631;-0.04171680614166846;-0.05501943113272775;-0.0845547528789071;1709997179373;Noise
51;25;0.018088349151355487;0.019353766540291417;0.018319153504137375;0.01720118684733052;-0.07922180101566412;-0.04192928498199938;-0.054979758243330235;-0.08446281858713016;1709997179373;Noise
52;25;0.018387331941767115;0.019665780050388548;0.01864573905470479;0.017526761198666918;-0.07908828648403786;-0.04193920320434876;-0.05494618887537849;-0.0843525737310159;1709997179373;Noise
53;26;0.01869977779824694;0.01997394376309103;0.018952935953677752;0.01781406184778689;-0.07898757838018262;-0.04200214576925828;-0.054902319814987006;-0.08425987649905825;1709997179389;Noise
54;26;0.018954940793378228;0.02020626635840017;0.01916467873820693;0.017989456162524675;-0.07896964928593568;-0.04228672245666738;-0.05486569868631238;-0.08419197482297404;1709997179405;Noise
55;27;0.019090017516305124;0.020321350679182615;0.019274356445976082;0.018084730940529425;-0.07894523520015259;-0.04267467753856424;-0.054829077557637745;-0.08412292873661875;1709997179405;Noise
56;27;0.01916487311137871;0.02039672795842762;0.019373328314543414;0.018199569188027453;-0.07883956798512266;-0.04286388670338316;-0.054789404668240234;-0.08403099444484181;1709997179405;Noise
57;28;0.019278960424344405;0.0205204504025005;0.019521548858847382;0.018354431523221137;-0.07869613523114703;-0.04288563049853372;-0.05474477266766803;-0.08392609016999261;1709997179405;Noise
58;28;0.019415387963533703;0.020646098685915604;0.019652534967860902;0.018475676552043296;-0.07861678945235201;-0.04290012636196743;-0.054713492120258445;-0.08383072264740243;1709997179405;Noise
59;29;0.019503697140805798;0.020706962042197574;0.019699629917226957;0.01849951986156384;-0.07859924182819542;-0.04314579310015974;-0.05468144863266815;-0.08376167656104713;1709997179405;Noise
60;29;0.01948880029118527;0.02066165877693038;0.019644533688108368;0.018438093195868532;-0.0785866533152135;-0.04351543761771929;-0.05464635338435496;-0.08370140428677014;1709997179405;Noise
61;30;0.019412170694465658;0.020577764408074017;0.01957576249651538;0.018389262325456457;-0.07848937844217152;-0.04372181293660444;-0.05460401020432492;-0.08362167703788476;1709997179437;Noise
62;30;0.019370607790165195;0.020544698636058456;0.01956386917004238;0.01839111305929464;-0.07835433803018382;-0.04369472856018883;-0.05457807023818039;-0.08353508332737286;1709997179437;Noise
63;31;0.01936679150759346;0.02053458252942164;0.019554458392917695;0.018371299641842143;-0.07826125932813581;-0.04368595474811053;-0.05453992322914432;-0.08344276756550557;1709997179437;Noise
64;31;0.019321523162716403;0.020465836960966044;0.01946722852306948;0.018258168218949322;-0.07824981522542498;-0.04392170326395346;-0.05449910592947572;-0.08337868059032497;1709997179437;Noise
