Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-0.011535726939214376;-0.019011046258040353;-0.028213124365862707;-0.03840865743841963;0;0;0;0;1719152231966;Noise;0.0007251933321409796;0.003434634335250886
2;0;-0.08431214784003337;-0.08996864989849708;-0.09446656056687801;-0.09773799757740027;0;0;0;0;1719152231966;Noise;0.0103779099437952;0.008394134219265714
3;1;-0.09723623471668663;-0.09457331443810232;-0.09197002500440282;-0.08942368240061913;0;0;0;0;1719152232045;Noise;0.001039896559775974;-0.001286183398919144
4;1;-0.07654462447426515;-0.07409476049423538;-0.07215966388801341;-0.07062384104897854;0;0;0;0;1719152232045;Noise;-0.002491946669691311;-0.0026318683041614416
5;2;-0.06434851077770413;-0.06290615514169702;-0.06180217874478392;-0.06094573093267913;0;0;0;0;1719152232045;Noise;-0.001091155029832952;-0.0012966706884009055
6;2;-0.05575950844668873;-0.0542756778310415;-0.05308565448787257;-0.052080737050431994;0;0;0;0;1719152232045;Noise;-0.0007328068864778103;-0.0012556243042569915
7;3;-0.0463553262485604;-0.044818207696912166;-0.043613674214788255;-0.04264478744306505;0;0;0;0;1719152232045;Noise;-0.0008788312046708463;-0.0013182300368229233
8;3;-0.03734804869430487;-0.03592865437779406;-0.034847931498634827;-0.03399994287864786;0;0;0;0;1719152232060;Noise;-0.0007996364307225334;-0.001226225250618558
9;4;-0.029223016317865433;-0.027894032952175712;-0.026886821528231047;-0.026111671574063865;0;0;0;0;1719152232060;Noise;-0.0007010653069782213;-0.0011194844666665461
10;4;-0.02171366020846515;-0.020457958989096005;-0.019531233703381213;-0.018832769783656837;0;0;0;0;1719152232060;Noise;-0.0006117713947320219;-0.0010555068695116167
11;5;-0.01479307956488685;-0.013608830804621308;-0.01275051646137746;-0.012121114791858076;0;0;0;0;1719152232060;Noise;-0.0005453932181539514;-0.0009792290149657386
12;5;-0.008436114427057377;-0.007317847110550188;-0.006527899791959116;-0.005969439383851277;0;0;0;0;1719152232060;Noise;-0.00047206193747047556;-0.0009091614376957567
13;6;-0.002618591376989953;-0.0015698266804220176;-0.0008453844032083091;-0.0003505558802309429;0;0;0;0;1719152232060;Noise;-0.00040698721911741186;-0.0008428992334501839
14;6;0.0026674099469082674;0.003651504133464198;0.004310297471373483;0.00473893818729632;0;0;0;0;1719152232060;Noise;-0.0003387021608973835;-0.0007767783983823569
15;7;0.007438928123164695;0.008359300949836774;0.00895519385824326;0.009321965855352091;0;0;0;0;1719152232076;Noise;-0.0002749975628734431;-0.0007140309108809332
16;7;0.01171908364106608;0.012582170610324656;0.01312151367136075;0.013431113608314364;0;0;0;0;1719152232092;Noise;-0.00021402482654684848;-0.0006534542414774538
17;8;0.015550632071983551;0.016358643831589626;0.016844072805664793;0.017100740197350292;0;0;0;0;1719152232138;Noise;-0.00015795245130524257;-0.0005990300111999875
18;8;0.01895500742430707;0.019709996705704273;0.020143116450029072;0.020347581105425786;0;0;0;0;1719152232138;Noise;-0.00010525158435163023;-0.0005456409698337515
19;9;0.021943621460967226;0.022647404146958098;0.023029830464227487;0.02318404261727625;0;0;0;0;1719152232154;Noise;-5.331808697250223e-05;-0.0004944110505659717
20;9;0.024534841977724806;0.025190324032988452;0.025525162642468992;0.025631874563806844;0;0;0;0;1719152232154;Noise;-4.283910194208956e-06;-0.0004455408290992176
21;10;0.026751253048927302;0.027361917507010287;0.027652790712824896;0.027716068489334816;0;0;0;0;1719152232170;Noise;4.2616092620288704e-05;-0.0003999591814857033
22;10;0.028624660015472356;0.029194312660481184;0.029445233308676055;0.029469114470729422;0;0;0;0;1719152232170;Noise;8.500109841583572e-05;-0.0003581740042426229
23;11;0.03018130626258443;0.030711393182338217;0.030923349739985017;0.03090858100243656;0;0;0;0;1719152232170;Noise;0.0001240166126577555;-0.0003187896629524706
24;11;0.03142907602086131;0.03192052087765539;0.03209441751113311;0.032041840851861264;0;0;0;0;1719152232170;Noise;0.00016208319926164227;-0.00028040317752997534
25;12;0.03237725067294968;0.032832218137556796;0.032970241395547766;0.032882200624388534;0;0;0;0;1719152232170;Noise;0.0001992612349311501;-0.0002436892768452742
26;12;0.033049524402521235;0.033472765148909234;0.033580126598999324;0.03346208734470911;0;0;0;0;1719152232170;Noise;0.00023350187816040258;-0.00021079888200865177
27;13;0.03348417918497663;0.03387921905771027;0.03395927678435642;0.03381439352272729;0;0;0;0;1719152232185;Noise;0.0002626471845031189;-0.000181960239754142
28;13;0.03370217290360657;0.03406994648850243;0.034123446853640514;0.03395240260273414;0;0;0;0;1719152232216;Noise;0.000289126484049447;-0.00015488572772291015
29;14;0.033708559604554454;0.034049125770974326;0.03407588049485959;0.033878341551483955;0;0;0;0;1719152232216;Noise;0.0003149611730762919;-0.00012829456829510644
30;14;0.03350595839932739;0.03382160371430003;0.03382421937022043;0.03360307271299586;0;0;0;0;1719152232232;Noise;0.0003408485208827028;-0.0001028631062642768
31;15;0.03311961352500535;0.03341412622444092;0.03339636272063068;0.03315531021598108;0;0;0;0;1719152232264;Noise;0.00036338591036978035;-8.11086396465821e-05
32;15;0.03257626862424329;0.03285224549152006;0.032816745406334946;0.032558404403006086;0;0;0;0;1719152232264;Noise;0.00038254945891571385;-6.216887448177999e-05
33;16;0.03189325750844905;0.03215187231049643;0.03209982276838885;0.03182543710595106;0;0;0;0;1719152232264;Noise;0.00039945622983227763;-4.47690543882856e-05
34;16;0.031080360908600453;0.03132232738141014;0.03125407391878292;0.030963733574958338;0;0;0;0;1719152232280;Noise;0.00041503467646758843;-2.8583943980066417e-05
35;17;0.03014062188083707;0.030366812753919455;0.030283176195426413;0.02997770232431298;0;0;0;0;1719152232280;Noise;0.0004305419258393145;-1.3047631461135523e-05
36;17;0.029085164192907027;0.02929913699187577;0.02920433370746848;0.028888399101829606;0;0;0;0;1719152232280;Noise;0.00044488958659399946;3.5190651027569575e-07
