Timestamp;Numpack;O1;O2;T3;T4;Timestamp_ms;label
66;32;-0,044551892;-0,056219536;-0,055883842;-0,059003123;1708638581474;Relax
67;33;-0,044520993;-0,056198174;-0,055817848;-0,058931788;1708638581474;Relax
68;33;-0,044452328;-0,05617376;-0,05573545;-0,058863887;1708638581474;Relax
69;34;-0,044343228;-0,056138664;-0,055669075;-0,058792552;1708638581474;Relax
70;34;-0,044279522;-0,056132561;-0,055605369;-0,058738002;1708638581474;Relax
71;35;-0,044287152;-0,05612455;-0,05554319;-0,058663615;1708638581506;Relax
72;35;-0,0442841;-0,056113487;-0,05547834;-0,058583125;1708638581506;Relax
73;36;-0,044192928;-0,056085259;-0,05541883;-0,058520182;1708638581506;Relax
74;36;-0,044089169;-0,056057411;-0,055359321;-0,058464488;1708638581506;Relax
75;37;-0,044030422;-0,056047493;-0,055293327;-0,058394678;1708638581506;Relax
76;37;-0,044062466;-0,056040245;-0,055243736;-0,05833021;1708638581506;Relax
77;38;-0,044038052;-0,056033379;-0,055199104;-0,058269556;1708638581506;Relax
78;38;-0,043963284;-0,056004387;-0,055144553;-0,058212717;1708638581506;Relax
79;39;-0,043871349;-0,055991798;-0,0550736;-0,058155497;1708638581522;Relax
80;39;-0,043817562;-0,055980354;-0,055012183;-0,058091028;1708638581522;Relax
81;40;-0,043839687;-0,055976158;-0,054976325;-0,058034189;1708638581522;Relax
82;40;-0,043828625;-0,055962807;-0,054926352;-0,057987268;1708638581522;Relax
83;41;-0,043761104;-0,055941063;-0,054866843;-0,057914789;1708638581522;Relax
84;41;-0,043659633;-0,055919701;-0,054799323;-0,057856043;1708638581522;Relax
85;42;-0,043606227;-0,055904442;-0,054747824;-0,0578034;1708638581522;Relax
86;42;-0,043618435;-0,05590139;-0,054710059;-0,057747324;1708638581522;Relax
87;43;-0,043642467;-0,055910164;-0,054668479;-0,057705744;1708638581538;Relax
88;43;-0,043561595;-0,055884605;-0,054611258;-0,057652338;1708638581538;Relax
89;44;-0,043457836;-0,055870109;-0,05455976;-0,057594736;1708638581538;Relax
90;44;-0,043418926;-0,055855614;-0,054515891;-0,057553155;1708638581538;Relax
91;45;-0,043465847;-0,055866295;-0,054480795;-0,057515771;1708638581554;Relax
92;45;-0,043445629;-0,055860573;-0,054439215;-0,057452829;1708638581554;Relax
93;46;-0,04338383;-0,05584684;-0,054398016;-0,057405527;1708638581586;Relax
94;46;-0,043321651;-0,055833488;-0,05434957;-0,057371576;1708638581586;Relax
95;47;-0,043269771;-0,055814796;-0,054304938;-0,057312448;1708638581586;Relax
96;47;-0,0432877;-0,055822426;-0,054269842;-0,05726362;1708638581586;Relax
97;48;-0,043280452;-0,055809837;-0,054229025;-0,057219369;1708638581617;Relax
98;48;-0,043231242;-0,055806022;-0,054177145;-0,057179696;1708638581617;Relax
99;49;-0,043137019;-0,05578466;-0,054124502;-0,057136209;1708638581617;Relax
100;49;-0,043092006;-0,055783897;-0,054086737;-0,057096154;1708638581617;Relax
101;50;-0,043112605;-0,05578199;-0,054064993;-0,057049996;1708638581617;Relax
102;50;-0,04313206;-0,055783134;-0,054019217;-0,057011468;1708638581617;Relax
103;51;-0,043058055;-0,055767494;-0,053971914;-0,056960351;1708638581617;Relax
104;51;-0,042975276;-0,055749946;-0,053933386;-0,056919915;1708638581617;Relax
105;52;-0,042948573;-0,055740791;-0,053903631;-0,056892068;1708638581649;Relax
106;52;-0,042999309;-0,055765968;-0,053879599;-0,056856973;1708638581649;Relax
107;53;-0,042982905;-0,055752617;-0,053839163;-0,056807381;1708638581649;Relax
108;53;-0,042918818;-0,055741173;-0,053801016;-0,056766564;1708638581649;Relax
109;54;-0,042849772;-0,055734306;-0,053769354;-0,056734139;1708638581649;Relax
110;54;-0,04281544;-0,055727821;-0,053738836;-0,056698281;1708638581649;Relax
111;55;-0,04284405;-0,055738502;-0,053704122;-0,056660515;1708638581649;Relax
112;55;-0,04282574;-0,055720192;-0,053672079;-0,056626183;1708638581649;Relax
113;56;-0,042782252;-0,055716377;-0,053620199;-0,056576211;1708638581665;Relax
114;56;-0,042705958;-0,055701881;-0,053579;-0,056543404;1708638581665;Relax
115;57;-0,042666285;-0,055697303;-0,053554205;-0,056512124;1708638581665;Relax
116;57;-0,042691462;-0,055699592;-0,053532461;-0,056471688;1708638581665;Relax
117;58;-0,042712825;-0,055710655;-0,053506521;-0,056442696;1708638581665;Relax
118;58;-0,042650263;-0,05569387;-0,053460363;-0,056416756;1708638581665;Relax
119;59;-0,04257931;-0,055688911;-0,053442052;-0,056382424;1708638581665;Relax
120;59;-0,042554514;-0,055693107;-0,053409246;-0,056359917;1708638581665;Relax
121;60;-0,042607157;-0,055708366;-0,05339475;-0,056327874;1708638581697;Relax
122;60;-0,042602961;-0,055696922;-0,053360418;-0,056290489;1708638581697;Relax
123;61;-0,042540782;-0,055677086;-0,05332456;-0,056260353;1708638581697;Relax
124;61;-0,042471354;-0,05567823;-0,053292135;-0,05623861;1708638581697;Relax
125;62;-0,042462962;-0,055692344;-0,053276494;-0,056198174;1708638581697;Relax
126;62;-0,042493098;-0,055706077;-0,053249028;-0,05616613;1708638581697;Relax
127;63;-0,042488902;-0,0557015;-0,053222326;-0,056133705;1708638581728;Relax
