Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-0.00011400320147937869;-0.0006789391630865632;-0.0020396457792990277;-0.004335166186746689;0;0;0;0;1718658685006;Noise;0;0
2;0;-0.007496576305502928;-0.011134318220957343;-0.014496438391976172;-0.016769966838712763;0;0;0;0;1718658685022;Noise;0;0
3;1;-0.017483167944818315;-0.01662180108538158;-0.014394801445959634;-0.01102915974916573;0;0;0;0;1718658685118;Noise;0;0
4;1;-0.006800949004293876;-0.0020512496579975373;0.0029253898476514365;0.007897020765850233;0;0;0;0;1718658685118;Noise;0;0
5;2;0.012565527990280267;0.016569330971183252;0.01969007556984009;0.02192814557115056;0;0;0;0;1718658685118;Noise;0;0
6;2;0.023300649377891457;0.02370749246739548;0.023092851819539628;0.02159959774958898;0;0;0;0;1718658685118;Noise;0;0
7;3;0.019444212066916988;0.016750684213335698;0.013616670413638978;0.010227818520871885;0;0;0;0;1718658685118;Noise;0;0
8;3;0.006780972087026611;0.0033817622721911238;0.00012154105316424771;-0.0028403680682498557;0;0;0;0;1718658685118;Noise;0;0
9;4;-0.005378264806591868;-0.007495653317545686;-0.00922092514114388;-0.01049718925143912;0;0;0;0;1718658685118;Noise;0;0
10;4;-0.011271522440079635;-0.011602753958899079;-0.01158317180435551;-0.01123720359968331;0;0;0;0;1718658685118;Noise;0;0
11;5;-0.010584685170120093;-0.009714222629943571;-0.008706174320439429;-0.0075704712344429595;0;0;0;0;1718658685118;Noise;0;0
12;5;-0.0063385684043185935;-0.005119152349201067;-0.003982794122591108;-0.002893038585647288;0;0;0;0;1718658685118;Noise;0;0
13;6;-0.0018317221068358302;-0.0008846036816826598;-0.0001178754600209864;0.0005199523402789152;0;0;0;0;1718658685118;Noise;0;0
14;6;0.0010832563059263343;0.0015258508018002027;0.0018042312403104737;0.0019754006399146633;0;0;0;0;1718658685118;Noise;0;0
15;7;0.002096096789093121;0.002129296698055393;0.0020457358357027894;0.001913747216959104;0;0;0;0;1718658685118;Noise;0;0
16;7;0.0017920586527372297;0.0016361065591451326;0.001406319816268663;0.001166679611170719;0;0;0;0;1718658685118;Noise;0;0
17;8;0.000979261786990939;0.0008020308801823894;0.0005876789765530867;0.0003844156048169684;0;0;0;0;1718658685118;Noise;0;0
18;8;0.00024313377364400292;0.00012266893360314302;-1.8818305617147998e-05;-0.0001357625508689436;0;0;0;0;1718658685118;Noise;0;0
19;9;-0.00018942009454660653;-0.00023126929933252755;-0.0003026614450800202;-0.00035118945621248263;0;0;0;0;1718658685118;Noise;0;0
20;9;-0.00033592719164232313;-0.0003141720835932738;-0.0003339271748950195;-0.0003429344346954554;0;0;0;0;1718658685118;Noise;0;0
21;10;-0.00029508612803102444;-0.0002437678790803043;-0.00023782668979914137;-0.00022821017463912742;0;0;0;0;1718658685118;Noise;0;0
22;10;-0.000170238397096289;-0.0001154920226087783;-0.0001095467273401523;-0.00010129982973126414;0;0;0;0;1718658685118;Noise;0;0
23;11;-4.6511689296238376e-05;1.3351494838578243e-06;-4.201384904604748e-06;-1.0173928921151677e-05;0;0;0;0;1718658685118;Noise;0;0
