Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-0.016720630161529644;-0.024881351245581038;-0.03259989310039241;-0.03835198812860274;0;0;0;0;1717619899410;Noise;0.0013145004719608585;0.005089686754406506
2;0;-0.030777119786015827;-0.026392260528771416;-0.023300508462715808;-0.021794543241566267;0;0;0;0;1717619899426;Noise;0.0004933685958396494;-0.00417393209505923
3;1;-0.023120025315082948;-0.024800416923694613;-0.02725218883676117;-0.02991607811536312;0;0;0;0;1717619899520;Noise;0.0005683417609789743;-1.8009586979950143e-05
4;1;-0.026939347461958363;-0.02566631054537538;-0.02517640316830061;-0.025551570192654083;0;0;0;0;1717619899520;Noise;0.0006651206538794696;-0.0023910876809321024
5;2;-0.02254186106554812;-0.021422618913600644;-0.02127187648528306;-0.022112637011531433;0;0;0;0;1717619899536;Noise;0.000626756153852881;-0.0019510832151361512
6;2;-0.018902915383758767;-0.017839397823578906;-0.01774368398943693;-0.018595464713161647;0;0;0;0;1717619899536;Noise;0.000547192311554312;-0.0021004864766425158
7;3;-0.015684714187067073;-0.014453099316348528;-0.01417976385967279;-0.015142296854797621;0;0;0;0;1717619899536;Noise;0.00045772235030838715;-0.0018438682443360221
8;3;-0.012435044501863501;-0.011330269161035744;-0.011111305703501273;-0.012078517019119772;0;0;0;0;1717619899536;Noise;0.0005464996340194261;-0.0019412156428231242
9;4;-0.009525412192260774;-0.008446060935121125;-0.008193485374036413;-0.009141415529121844;0;0;0;0;1717619899536;Noise;0.0005581973862831546;-0.0018920878398702712
10;4;-0.00672420196025314;-0.005660633461616271;-0.005512639259933394;-0.006548303709166703;0;0;0;0;1717619899536;Noise;0.000668217784905778;-0.001926205097362299
11;5;-0.004228268551855763;-0.0031368433118217354;-0.002971845315997257;-0.004045986911322075;0;0;0;0;1717619899536;Noise;0.0006224041190137086;-0.0018409731226398662
12;5;-0.0018837087536951458;-0.0007734850233589441;-0.0006204469174377891;-0.0017659438163093455;0;0;0;0;1717619899536;Noise;0.0006410547263726585;-0.0017931069198624527
13;6;0.0002479800705117441;0.0013261053131685685;0.0014855549503209886;0.0003221674892444071;0;0;0;0;1717619899551;Noise;0.0006304229106746106;-0.0017483601030789941
