Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-0.008478917872562218;-0.01394065979457458;-0.020676277815601732;-0.028149765671920644;0;0;0;0;1719067506726;Noise;0.0005440263609406045;0.002522298650184521
2;0;-0.06029635939872586;-0.06348530138405162;-0.06571615352029539;-0.06700867935550762;0;0;0;0;1719067506726;Noise;0.007546586628027999;0.00568212740646238
3;1;-0.06277692297698274;-0.06085584935548453;-0.059368701966466625;-0.058218788231254245;0;0;0;0;1719067506790;Noise;-0.00021578469149165225;-0.0015735502571611049
4;1;-0.05367409685885005;-0.05268182968880629;-0.05200877203961299;-0.05154743977502041;0;0;0;0;1719067506790;Noise;-0.0007935570876737505;-0.0009302074095528454
5;2;-0.04842801946376786;-0.047277310502934114;-0.04638860760606142;-0.04569883873109024;0;0;0;0;1719067506790;Noise;-0.0003343008229005351;-0.0008065956766441298
6;2;-0.04130994363506382;-0.040042400288511415;-0.03906649919940306;-0.03828982222446432;0;0;0;0;1719067506790;Noise;-0.0006043597237723811;-0.0010777791184596805
7;3;-0.03407731628824621;-0.03288230881376132;-0.031996873801535645;-0.03133802043831747;0;0;0;0;1719067506790;Noise;-0.000603384064779458;-0.0009862614811084885
8;3;-0.0276222075790441;-0.0265172826687999;-0.025717584709438555;-0.025129759337658056;0;0;0;0;1719067506790;Noise;-0.0004918489947089363;-0.0009041652934142774
9;4;-0.02169823423279732;-0.02064341005270131;-0.019882934109223965;-0.019340218532078693;0;0;0;0;1719067506806;Noise;-0.00044524418568947857;-0.0008388043779491254
10;4;-0.016181001894167064;-0.015186065706114669;-0.01449191121403837;-0.014010078134854298;0;0;0;0;1719067506806;Noise;-0.0003805163606703764;-0.0007939255533792426
11;5;-0.011128833123248333;-0.01018922521968428;-0.009545413680342023;-0.009113793382525555;0;0;0;0;1719067506806;Noise;-0.0003313430360176572;-0.0007327015909272747
12;5;-0.006493180824330643;-0.005601772321512018;-0.005008851575744433;-0.004629167780330967;0;0;0;0;1719067506822;Noise;-0.00027590966710878614;-0.0006824524996828871
13;6;-0.002247354105765389;-0.001406606896007975;-0.0008595373945413803;-0.0005235561986393608;0;0;0;0;1719067506822;Noise;-0.00023131064968614362;-0.000633791447622347
14;6;0.0016198728607817632;0.002412845354560996;0.0029109159269371954;0.0031974928125308617;0;0;0;0;1719067506822;Noise;-0.00018273179739677296;-0.0005859446565568659
15;7;0.005103301934494139;0.005846588028096983;0.006296498870973727;0.006536790947330075;0;0;0;0;1719067506838;Noise;-0.00013624561027030576;-0.0005384575982460608
16;7;0.008215801604296932;0.008915972928946822;0.009323345390521737;0.009520997984937331;0;0;0;0;1719067506838;Noise;-9.078214484730361e-05;-0.0004928231333144427
17;8;0.011000048694448821;0.011661067822831222;0.0120309762102855;0.012192628954737042;0;0;0;0;1719067506838;Noise;-5.033431758790126e-05;-0.00045393885608033605
18;8;0.013487285468104904;0.014110315178962027;0.014442931686557475;0.014567306781221333;0;0;0;0;1719067506838;Noise;-1.4471506432285272e-05;-0.00041610215976257275
19;9;0.015671872698315607;0.016255690676675618;0.016549986575619825;0.0166370647987605;0;0;0;0;1719067506838;Noise;2.3007922767570924e-05;-0.00037778909737110414
20;9;0.017556649193573567;0.01810200743174381;0.018358424352189956;0.018408115211100112;0;0;0;0;1719067506838;Noise;5.901778606141883e-05;-0.0003401953148529993
21;10;0.01915180057468412;0.019664279082367193;0.01988919110992095;0.01990860846101173;0;0;0;0;1719067506838;Noise;9.502309861359609e-05;-0.00030594064018785866
22;10;0.020509787428268665;0.02099486774197782;0.021193609434929147;0.021187501076975243;0;0;0;0;1719067506838;Noise;0.000123579768372125;-0.0002777067669383834
23;11;0.021655765178487246;0.022112605499623614;0.022283699726745366;0.022250225798806297;0;0;0;0;1719067506902;Noise;0.00014922435467591005;-0.0002503876851231747
24;11;0.022575537101246296;0.023001707069551937;0.02314287276670837;0.023080225090041498;0;0;0;0;1719067506902;Noise;0.0001766480349026829;-0.0002209121168601745
25;12;0.02326580539585321;0.023664467849996325;0.023779015864642067;0.023690562311249094;0;0;0;0;1719067506902;Noise;0.0002046098376702367;-0.0001932061452515274
26;12;0.023753274147595975;0.02412759962071894;0.024218565346228068;0.024107205550506054;0;0;0;0;1719067506902;Noise;0.00022914226212171832;-0.00016884336215391288
