Timestamp;Numpack;O1;O2;T3;T4;Timestamp_ms;label
1;0;-3.292683253400351e-08;-1.7771333059393085e-07;-5.408142513667937e-07;-1.3260759938899694e-06;1709158605111;Noise
2;0;-2.838333443223765e-06;-5.348546042277275e-06;-9.086168134983588e-06;-1.4322810027027607e-05;1709158605111;Noise
3;1;-2.1311197980298567e-05;-3.0201562136667653e-05;-4.114355944362027e-05;-5.438900665371745e-05;1709158605159;Noise
4;1;-7.017831618670405e-05;-8.862408828502322e-05;-0.00010982217867383176;-0.000133969839308595;1709158605159;Noise
5;2;-0.0001612570061255876;-0.00019175407306668235;-0.00022552648012971076;-0.0002627447210072449;1709158605159;Noise
6;2;-0.00030356058951415686;-0.00034799266750385984;-0.00039605722900362683;-0.0004478939401012575;1709158605159;Noise
7;3;-0.0005036367599253154;-0.0005632785418659265;-0.0006267920056247659;-0.0006942699673872318;1709158605159;Noise
8;3;-0.0007658158119391572;-0.0008414060431188724;-0.0009209918476489426;-0.0010046307862101836;1709158605159;Noise
9;4;-0.0010923892328282305;-0.0011842169877896087;-0.0012800451790348694;-0.0013799089640290853;1709158605159;Noise
10;4;-0.0014838497021723651;-0.00159179367238483;-0.00170364909914076;-0.0018194269758533479;1709158605159;Noise
11;5;-0.0019391474683650195;-0.0020627225538604453;-0.0021900473929746278;-0.002321113028774735;1709158605159;Noise
12;5;-0.0024559159194639003;-0.002594351190731632;-0.002736305796280016;-0.0028817617197057317;1709158605159;Noise
13;6;-0.0030306991055163747;-0.0031829942353974834;-0.003338520328482664;-0.0034972514957951556;1709158605159;Noise
14;6;-0.003659160567770681;-0.003824112937029031;-0.003991968484581878;-0.004162689864116604;1709158605159;Noise
15;7;-0.004336242818937257;-0.004512488020530251;-0.0046912791747682194;-0.004872570502316288;1709158605175;Noise
16;7;-0.005056320064497328;-0.005242383992365335;-0.0054306132313080265;-0.00562095876148574;1709158605175;Noise
17;8;-0.005813375255978055;-0.006007716224064866;-0.006203829780035806;-0.006401663620044672;1709158605175;Noise
18;8;-0.006601170930028742;-0.006802206170352932;-0.007004617555420152;-0.007208349971796672;1709158605175;Noise
19;9;-0.007413353981392314;-0.007619485135092851;-0.007826594780900706;-0.008034628940042206;1709158605191;Noise
20;9;-0.008243537146709105;-0.008453175213408538;-0.008663397577038523;-0.00887415412179437;1709158605191;Noise
21;10;-0.009085397300248571;-0.009296985616173828;-0.009508776875291258;-0.009720724864807538;1709158605191;Noise
22;10;-0.009932786595166573;-0.010144825936144075;-0.010356705829618446;-0.010568384150019426;1709158605191;Noise
23;11;-0.010779822092852664;-0.01099088905012638;-0.011201453941016409;-0.011411479782877654;1709158605207;Noise
24;11;-0.011620932543743924;-0.011829686939810301;-0.012037617429940348;-0.012244692328918413;1709158605207;Noise
25;12;-0.012450883277543855;-0.012656071491578493;-0.012860137876490336;-0.013063056426277486;1709158605207;Noise
26;12;-0.01326480480177148;-0.013465271815947772;-0.013664346486901765;-0.013862009655010516;1709158605207;Noise
27;13;-0.014058245239394876;-0.014252949560271332;-0.014446019976676626;-0.0146374447846894;1709158605255;Noise
28;13;-0.014827214607409562;-0.01501523293178862;-0.015201404515485458;-0.015385724455173569;1709158605255;Noise
29;14;-0.01556818997259753;-0.015748711653230336;-0.015927201386276544;-0.016103660778828483;1709158605255;Noise
30;14;-0.016278093471479488;-0.01645041722412039;-0.016620551486920467;-0.016788504879743444;1709158605255;Noise
31;15;-0.016954287793332357;-0.017117825450775823;-0.01727904520030658;-0.017437962981946435;1709158605287;Noise
