_id;timestamp;experiment;O1;O2;T3;T4;timestamp_ms;label
;2024-02-27T21:24:01,794Z;1;-0,00742498000000;-0,02346270000000;-0,02283100000000;-0,02170660000000;1709069041794;Noise
;2024-02-27T21:24:01,802Z;1;-0,02013370000000;-0,06199770000000;-0,06034800000000;-0,02170660000000;1709069041800;Noise
;2024-02-27T21:24:01,807Z;1;-0,03117930000000;-0,08368420000000;-0,08152730000000;-0,07769430000000;1709069041807;Noise
;2024-02-27T21:24:01,815Z;1;-0,03271670000000;-0,07334460000000;-0,07153390000000;-0,06841690000000;1709069041814;Noise
;2024-02-27T21:24:01,828Z;1;-0,03218440000000;-0,06692710000000;-0,06530920000000;-0,06252550000000;1709069041827;Noise
;2024-02-27T21:24:01,834Z;1;-0,03089830000000;-0,06258470000000;-0,06107170000000;-0,05844810000000;1709069041834;Noise
;2024-02-27T21:24:01,841Z;1;-0,03089830000000;-0,06258470000000;-0,06107170000000;-0,05844810000000;1709069041841;Noise
;2024-02-27T21:24:01,849Z;1;-0,02939850000000;-0,05546320000000;-0,05415810000000;-0,05188350000000;1709069041848;Noise
;2024-02-27T21:24:01,854Z;1;-0,02799790000000;-0,05171010000000;-0,05050410000000;-0,04836990000000;1709069041854;Noise
;2024-02-27T21:24:01,860Z;1;-0,02464100000000;-0,04149470000000;-0,04054180000000;-0,03888980000000;1709069041859;Noise
;2024-02-27T21:24:01,873Z;1;-0,02464100000000;-0,04149470000000;-0,03647090000000;-0,03500270000000;1709069041872;Noise
;2024-02-27T21:24:01,878Z;1;-0,02297070000000;-0,03732540000000;-0,03647090000000;-0,03500270000000;1709069041878;Noise
;2024-02-27T21:24:01,883Z;1;-0,02128580000000;-0,03325040000000;-0,03249140000000;-0,03118780000000;1709069041883;Noise
;2024-02-27T21:24:01,888Z;1;-0,02128580000000;-0,03325040000000;-0,03249140000000;-0,03118780000000;1709069041888;Noise
;2024-02-27T21:24:01,893Z;1;-0,01942680000000;-0,02840530000000;-0,02779320000000;-0,02668620000000;1709069041893;Noise
;2024-02-27T21:24:01,898Z;1;-0,01942680000000;-0,02840530000000;-0,02779320000000;-0,02668620000000;1709069041898;Noise
;2024-02-27T21:24:01,903Z;1;-0,01942680000000;-0,02840530000000;-0,02476350000000;-0,02376830000000;1709069041903;Noise
;2024-02-27T21:24:01,910Z;1;-0,01449480000000;-0,01757030000000;-0,01720030000000;-0,01657410000000;1709069041908;Noise
;2024-02-27T21:24:01,915Z;1;-0,01449480000000;-0,01757030000000;-0,01720030000000;-0,01657410000000;1709069041915;Noise
;2024-02-27T21:24:01,920Z;1;-0,01449480000000;-0,01757030000000;-0,01720030000000;-0,01657410000000;1709069041920;Noise
;2024-02-27T21:24:01,927Z;1;-0,01137600000000;-0,01110300000000;-0,01087340000000;-0,01051720000000;1709069041925;Noise
;2024-02-27T21:24:01,935Z;1;-0,01137600000000;-0,01110300000000;-0,01087340000000;-0,01051720000000;1709069041934;Noise
;2024-02-27T21:24:01,942Z;1;-0,00853405000000;-0,00575403000000;-0,00842791000000;-0,00550634000000;1709069041940;Noise
;2024-02-27T21:24:01,949Z;1;-0,00853405000000;-0,00575403000000;-0,00565235000000;-0,00550634000000;1709069041948;Noise
;2024-02-27T21:24:01,954Z;1;-0,00719341000000;-0,00308229000000;-0,00304644000000;-0,00300535000000;1709069041954;Noise
;2024-02-27T21:24:01,960Z;1;-0,00719341000000;-0,00308229000000;-0,00304644000000;-0,00300535000000;1709069041960;Noise
;2024-02-27T21:24:01,965Z;1;-0,00594536000000;-0,00094098500000;-0,00096371600000;-0,00099194000000;1709069041965;Noise
