Timestamp;ALPHA_INDEX;BETA_INDEX;DELTA_INDEX;EEG_O1_VAL;EEG_O2_VAL;EEG_T3_VAL;EEG_T4_VAL;LABEL;SIGNAL_O1_VAL;SIGNAL_O2_VAL;SIGNAL_T3_VAL;SIGNAL_T4_VAL;THETA_INDEX;TIMESTAMP_MS
09/09/2023 16:36;0,040505621;0,022443096;0,853959169;-3,33E-05;-8,97E-06;-5,55E-05;-0,000109932;1;-0,165839163;-0,162067949;-0,167593544;-0,136721551;0,083092114;1,69427E+12
09/09/2023 16:36;0,023658643;0,015862722;0,937228053;-3,79E-05;2,44E-05;3,54E-06;-1,68E-05;1;-0,165850988;-0,162021791;-0,167629402;-0,136803567;0,023250582;1,69427E+12
09/09/2023 16:36;0,025742248;0,016442972;0,927984057;-2,69E-05;2,37E-05;4,38E-05;0,000160272;1;-0,16586968;-0,161988604;-0,167612999;-0,136673104;0,029830722;1,69427E+12
09/09/2023 16:36;0,030579711;0,018766225;0,918319667;-3,95E-06;2,71E-05;2,70E-05;0,000110081;1;-0,165835729;-0,161945497;-0,167642372;-0,136618172;0,032334397;1,69427E+12
09/09/2023 16:36;0,027786476;0,017521542;0,922857365;-6,37E-06;5,38E-06;3,86E-05;4,79E-05;1;-0,165861288;-0,161945497;-0,167617958;-0,136605584;0,031834617;1,69427E+12
09/09/2023 16:36;0,028499624;0,017544053;0,922396844;4,90E-05;-1,39E-06;1,43E-05;-6,19E-05;1;-0,165759054;-0,161898577;-0,167608039;-0,136693703;0,031559479;1,69427E+12
09/09/2023 16:36;0,02897556;0,017666046;0,921476379;3,19E-05;-2,46E-05;-4,45E-06;-9,39E-05;1;-0,165720144;-0,161900484;-0,16763665;-0,136823785;0,031882014;1,69427E+12
09/09/2023 16:36;0,0283512;0,017260031;0,923115332;-3,37E-05;-4,54E-05;-2,72E-05;-7,96E-05;2;-0,165780798;-0,161962664;-0,167683189;-0,136947762;0,031273437;1,69427E+12
09/09/2023 16:36;0,028268154;0,017123094;0,92352532;-1,86E-05;-1,64E-05;-9,95E-06;-2,55E-05;2;-0,165749517;-0,161950075;-0,167709129;-0,137038552;0,031083432;1,69427E+12
09/09/2023 16:36;0,027982084;0,016825821;0,924114332;-1,40E-05;5,04E-06;2,00E-06;8,43E-05;2;-0,165754095;-0,161949694;-0,167707985;-0,13699125;0,031077763;1,69427E+12
09/09/2023 16:36;0,027665124;0,016617507;0,924850706;-3,27E-05;1,32E-06;-1,79E-05;0,000105116;2;-0,165801779;-0,161954653;-0,167763679;-0,136935555;0,030866663;1,69427E+12
09/09/2023 16:36;0,027024365;0,016233817;0,926160757;-5,18E-06;2,31E-05;1,29E-05;3,48E-05;2;-0,165821997;-0,161916506;-0,167790001;-0,136938226;0,030581061;1,69427E+12
