Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-0.023855361535670132;-0.0350245724792449;-0.04632091377437161;-0.05527266413093753;0;0;0;0;1719238964400;Noise;0.0023640663102452025;0.006987469652099742
2;0;-0.043173759166058534;-0.03822500825805444;-0.03847033255260411;-0.04159061553136322;0;0;0;0;1719238964416;Noise;0.001719925126601643;-0.007610228654012216
3;1;-0.04196891132293826;-0.04217731832177559;-0.04671718611927403;-0.0520440084785868;0;0;0;0;1719238964479;Noise;0.00312809510142556;-0.003206632203202782
4;1;-0.045313102289867936;-0.04273740784811938;-0.04509424242426111;-0.04970172371644732;0;0;0;0;1719238964479;Noise;0.0016969361543206357;-0.0048699980008386
5;2;-0.04483142250299271;-0.042528014261808855;-0.04536390915851793;-0.05029948515193848;0;0;0;0;1719238964479;Noise;0.0025865605377709197;-0.004882304705399548
6;2;-0.04486421621056495;-0.04279227612164159;-0.04543070398639788;-0.049954999897342506;0;0;0;0;1719238964479;Noise;0.002142799546347822;-0.004865410882930819
7;3;-0.044728745434660315;-0.04241018172378267;-0.04515781448427009;-0.04996944594339569;0;0;0;0;1719238964479;Noise;0.0024407175640403372;-0.004858018453255328
8;3;-0.04460705896456714;-0.04244345656694626;-0.04515967711252874;-0.049813057517135634;0;0;0;0;1719238964479;Noise;0.0022524806869381395;-0.004865767042932401
9;4;-0.04457298175626187;-0.042288374983667554;-0.04493245169322918;-0.049652933328988305;0;0;0;0;1719238964479;Noise;0.002280188480797307;-0.004761261684288219
10;4;-0.044387725607852715;-0.042232734907798275;-0.04494845485567327;-0.04960395404803862;0;0;0;0;1719238964495;Noise;0.00230779981151627;-0.0048655293623106124
11;5;-0.04435211153094553;-0.042123026934220445;-0.04478237644888386;-0.04945338652051849;0;0;0;0;1719238964495;Noise;0.0022758944543683976;-0.004779945144712167
12;5;-0.04419619840478812;-0.041996487336662544;-0.044681545250707354;-0.04934240624346752;0;0;0;0;1719238964495;Noise;0.002294064111253373;-0.004819076901346829
13;6;-0.04410467335579602;-0.04189754349849362;-0.04453819137901497;-0.04917284572042696;0;0;0;0;1719238964495;Noise;0.002253953194932344;-0.0047670753272135435
14;6;-0.043964589809513;-0.041775451094799215;-0.04443780925332984;-0.049074518626327404;0;0;0;0;1719238964510;Noise;0.0022811765583201984;-0.004781068433642059
15;7;-0.04387756040487527;-0.041697783520798164;-0.04434662260286872;-0.04896733954203048;0;0;0;0;1719238964510;Noise;0.0022568306979880576;-0.0047541928888263085
16;7;-0.0437763123539998;-0.041591815232568094;-0.04423847185737392;-0.04885839091056787;0;0;0;0;1719238964510;Noise;0.0022629375140351474;-0.004753306426730088
17;8;-0.04366642846391095;-0.041487774198588574;-0.044118520643301934;-0.04871572345650654;0;0;0;0;1719238964510;Noise;0.002248285381049729;-0.0047433485412902085
18;8;-0.0435488582942209;-0.041374218165654224;-0.044000953868707164;-0.048591792074088966;0;0;0;0;1719238964510;Noise;0.0022489110771795884;-0.004728698893571762
19;9;-0.04344356196638362;-0.041281085527525616;-0.04390493955022534;-0.04848469173722517;0;0;0;0;1719238964510;Noise;0.0022418304510891593;-0.00471579913146479
20;9;-0.043353960463954726;-0.04119647769645716;-0.04381695117357662;-0.048392026124124916;0;0;0;0;1719238964510;Noise;0.0022374749638236005;-0.0047023643566694515
21;10;-0.0432633117027348;-0.041110001943969986;-0.04372432981598409;-0.048288293838262254;0;0;0;0;1719238964526;Noise;0.002232434610380425;-0.004697871705816883
22;10;-0.04316199425109144;-0.04100674429960929;-0.04360797677980931;-0.04815698093858099;0;0;0;0;1719238964526;Noise;0.002226761052655471;-0.004689519513237726
23;11;-0.043049387036156024;-0.04090078828590893;-0.043495875934164936;-0.04803318991023152;0;0;0;0;1719238964526;Noise;0.002222376999528354;-0.00467604861715358
24;11;-0.04294758406457049;-0.04080814452409876;-0.0434003394764067;-0.04793018964893777;0;0;0;0;1719238964542;Noise;0.002216873708764465;-0.004660678708409263
25;12;-0.04285992464682321;-0.04072854980159897;-0.0433197722317165;-0.04784428631513174;0;0;0;0;1719238964542;Noise;0.0022131008814477715;-0.004650706214667254
26;12;-0.042775824343073546;-0.04064560469608992;-0.04322914852355481;-0.047743191947884706;0;0;0;0;1719238964558;Noise;0.002208316842392498;-0.004645207388694637
27;13;-0.042678524267485744;-0.04054839879487347;-0.043121891260427675;-0.04762300568861814;0;0;0;0;1719238964558;Noise;0.002203590086631242;-0.004637752692762932
28;13;-0.04257125080499745;-0.040445186960825136;-0.04301101409651512;-0.047500714338661806;0;0;0;0;1719238964574;Noise;0.0021983555520143777;-0.004625893157401945
