Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label
1;0;-0.0001432989170087429;-0.0005275875378883459;-0.0010184949886767884;-0.0019045682059446538;-0.026408792885582816;0.03402827647044799;-0.035214648451469856;-0.029426984240516894;1716325712487;Noise
2;0;-0.003681008070252358;-0.006079007210116859;-0.008695106748904526;-0.011606884473176711;-0.024296211525165104;0.021528264549507667;-0.033465608087165914;-0.031072646210333073;1716325712487;Noise
3;1;-0.014369536548925569;-0.01606410410192146;-0.01660695259737137;-0.016617111764052984;-0.026844050258684405;0.02760622749922514;-0.03566516462818587;-0.029903821853467804;1716325712550;Noise
4;1;-0.016333845048577777;-0.015633141922987544;-0.014863785737534847;-0.014501781938193646;-0.026985194192117874;0.023140738621462462;-0.035916553417733595;-0.030183057959611855;1716325712550;Noise
5;2;-0.014290115609263994;-0.013947780920856075;-0.013848812275451644;-0.014180157631262348;-0.027156474262689842;0.01969148606442076;-0.0360874520182152;-0.03037531888515366;1716325712550;Noise
6;2;-0.014445729628696159;-0.01436689778254079;-0.01437160264460955;-0.014618573180813638;-0.027473094437689246;0.016826645685811697;-0.036220585079751094;-0.030512648117683523;1716325712566;Noise
7;3;-0.014636820031648895;-0.01437136923944925;-0.014336949869797142;-0.014522951611166455;-0.027688243568652696;0.014516844288677491;-0.03629420880719071;-0.030601530648737572;1716325712566;Noise
8;3;-0.014363874763625703;-0.013914328123325957;-0.013822424279738312;-0.014048695701880526;-0.027667262713682857;0.012736904847054337;-0.036304508499630454;-0.03064654411940014;1716325712566;Noise
9;4;-0.013907284101463002;-0.013412098103391288;-0.013236212683367974;-0.013388193598351146;-0.027535655532508405;0.011292659084948621;-0.036287342345564216;-0.030664854683737454;1716325712566;Noise
10;4;-0.013243496644358296;-0.012792639492804734;-0.012622674398042596;-0.012719076015998736;-0.027528789070881913;0.009948358486517418;-0.03628581646520278;-0.030672865555635028;1716325712566;Noise
11;5;-0.01252984544923821;-0.01211487057819475;-0.011994395535792369;-0.012087003289625626;-0.027693584149917745;0.008648308418568057;-0.036290012636196745;-0.03067858760699044;1716325712566;Noise
12;5;-0.01189534308687169;-0.011510215478183648;-0.011400339266251178;-0.011441503983910896;-0.027795818134134422;0.007534034284624371;-0.036264835610232936;-0.03066866938464106;1716325712566;Noise
