Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label;bipolar_left;bipolar_right
1;0;-0.14206962774339627;-0.16589352693712967;-0.16644130806520296;-0.1501816709623061;0;0;0;0;1718463751450;Noise;0.02458795441866106;0.03797532627559816
2;0;-0.1381156426079227;-0.14065731772503579;-0.14379228666605245;-0.14502447517725237;0;0;0;0;1718463751450;Noise;-0.00026632181274305333;-0.0009696131014270137
3;1;-0.12775207212717032;-0.13528133561498173;-0.14819896815547265;-0.15356740514033423;0;0;0;0;1718463751514;Noise;0.002737653971533832;-0.011705061651269943
4;1;-0.133336819516814;-0.13929614023177433;-0.146052783540332;-0.14839745758214812;0;0;0;0;1718463751514;Noise;-0.006046051007997849;-0.0047646890611830195
5;2;-0.13120968573259384;-0.13636833737904983;-0.14470444507140826;-0.14954296741025097;0;0;0;0;1718463751514;Noise;-0.0018120464796020086;-0.007016444792066895
6;2;-0.1305625793554265;-0.13858115707994434;-0.14661867680755325;-0.14836130093951283;0;0;0;0;1718463751530;Noise;-0.0035063382769188467;-0.007773868166579739
7;3;-0.1302062776050841;-0.13620538797928078;-0.1448226697332421;-0.14868175050999838;0;0;0;0;1718463751530;Noise;-0.001968797240425091;-0.007189890946108252
8;3;-0.12952775507142233;-0.13651175804187068;-0.145298089446987;-0.14851922127345352;0;0;0;0;1718463751546;Noise;-0.003016709383444116;-0.007502329353557602
9;4;-0.12990626923799256;-0.13606036626501583;-0.144038125300763;-0.1475051295952439;0;0;0;0;1718463751546;Noise;-0.0032452755806577083;-0.006652535783979008
10;4;-0.12874401360814078;-0.13576666217807923;-0.1444179513180382;-0.14758173718651718;0;0;0;0;1718463751562;Noise;-0.002735450060426081;-0.007621458604661763
11;5;-0.12878274100267545;-0.13538534078009412;-0.14372952639387343;-0.14699575916228652;0;0;0;0;1718463751578;Noise;-0.0030338930434018474;-0.0070514075222737616
12;5;-0.12816931641087276;-0.13488124316952416;-0.1434989061445294;-0.14691886833542106;0;0;0;0;1718463751658;Noise;-0.0028711409783067077;-0.00729720832361383
13;6;-0.12801845083751318;-0.13471458813103632;-0.14306290690945328;-0.14631362668834536;0;0;0;0;1718463751658;Noise;-0.0031898076648590457;-0.007064624532845398
14;6;-0.12747776710292963;-0.13421384794207897;-0.14272500892425702;-0.1460632807200678;0;0;0;0;1718463751658;Noise;-0.002961367450377006;-0.0072382492382441765
15;7;-0.12716244006398758;-0.1339197314913542;-0.14237181006728047;-0.1456391729420348;0;0;0;0;1718463751674;Noise;-0.0030930833673651625;-0.00715797476271976
16;7;-0.12681574245868205;-0.1335230241762317;-0.14200318242447496;-0.14534958283374433;0;0;0;0;1718463751674;Noise;-0.003043540269156181;-0.007135203765301884
17;8;-0.12646284286315457;-0.13322972238220976;-0.14169022690984295;-0.14497800290703244;0;0;0;0;1718463751690;Noise;-0.003122069523767562;-0.007133135067552754
18;8;-0.126111249177218;-0.132855453239543;-0.14131430285029012;-0.14462264686597906;0;0;0;0;1718463751690;Noise;-0.003104953285217066;-0.007118916399853709
19;9;-0.12575197512588268;-0.13251131583833853;-0.14097231288852363;-0.14426894172880927;0;0;0;0;1718463751706;Noise;-0.003117390075194265;-0.007120343501265419
20;9;-0.12543667384458104;-0.13217172827562565;-0.14061341906733926;-0.1439203998714626;0;0;0;0;1718463751706;Noise;-0.003126837058318732;-0.007083562255714992
21;10;-0.1251206404198851;-0.13187535235211262;-0.14032032284139279;-0.14361586072716986;0;0;0;0;1718463751706;Noise;-0.0031308584468672795;-0.007076154718240468
22;10;-0.12481019675441825;-0.13156516771763827;-0.14000017215727756;-0.14329036058618733;0;0;0;0;1718463751706;Noise;-0.003148989289410098;-0.007059252086820955
23;11;-0.12449672333312856;-0.1312559566380639;-0.1396924098110981;-0.1429808427615771;0;0;0;0;1718463751722;Noise;-0.003151220308479308;-0.007052534483437067
24;11;-0.12418415686268938;-0.13093546881669157;-0.1393587139602776;-0.1426449869732045;0;0;0;0;1718463751722;Noise;-0.0031659608937009143;-0.007038508751875006
25;12;-0.12388788955613309;-0.13063347592277288;-0.13904719739865729;-0.14233161226229163;0;0;0;0;1718463751722;Noise;-0.0031636019000150783;-0.0070226416612720055
26;12;-0.12361382329012148;-0.13036144519344411;-0.13876791385095105;-0.1420463813316243;0;0;0;0;1718463751722;Noise;-0.003166560847374905;-0.007003264945727644
27;13;-0.12334058818020116;-0.13009562253753;-0.13850280254231886;-0.14177742056720538;0;0;0;0;1718463751722;Noise;-0.0031743773186685698;-0.006991463955954819
28;13;-0.12304411092235182;-0.1297975776584781;-0.13819772726191062;-0.14146869700690284;0;0;0;0;1718463751722;Noise;-0.003191022064848281;-0.006988100168615369
29;14;-0.12275743459829308;-0.12950130878969515;-0.13788948453025657;-0.14116000481980984;0;0;0;0;1718463751722;Noise;-0.0031919921467405132;-0.006975374700208453
30;14;-0.12249436892933288;-0.1292309619117234;-0.13760777260633186;-0.1408757937306343;0;0;0;0;1718463751722;Noise;-0.0031883032021435;-0.006957858792679433
31;15;-0.12225643987869557;-0.12899607942497343;-0.13736804861546412;-0.14062900116165067;0;0;0;0;1718463751738;Noise;-0.0031878648065953308;-0.006938058049594381
32;15;-0.12199226208145017;-0.1287388307941056;-0.13711179263183337;-0.14037043857239478;0;0;0;0;1718463751754;Noise;-0.003202444503427909;-0.006933217726739896
33;16;-0.12172273551395371;-0.12846543611279265;-0.13682919333189486;-0.14008448891834013;0;0;0;0;1718463751754;Noise;-0.003215011738689544;-0.006925926208948149
34;16;-0.12145879818924848;-0.12818791450217099;-0.13653749234826834;-0.13979240116962338;0;0;0;0;1718463751754;Noise;-0.003215399377212491;-0.006912997300143664
35;17;-0.12121789648211316;-0.12794193915908508;-0.13628057471455646;-0.13953014297241245;0;0;0;0;1718463751754;Noise;-0.0032099862897130294;-0.006895122650185326
36;17;-0.12098591742032522;-0.12771151753340954;-0.13604447874268372;-0.139288901725649;0;0;0;0;1718463751754;Noise;-0.0032116105283910013;-0.006880096611201814
37;18;-0.12074654678178116;-0.1274761375438125;-0.13580754143005125;-0.13904802404705607;0;0;0;0;1718463751770;Noise;-0.003218676894108846;-0.006873114738031913
38;18;-0.12050320309955734;-0.12722865271940031;-0.13555101166221892;-0.13878652989567863;0;0;0;0;1718463751770;Noise;-0.003226854852677513;-0.006865333137510532
