Timestamp;Numpack;O1;O2;T3;T4;O1_raw;O2_raw;T3_raw;T4_raw;Timestamp_ms;label
1;0;-0.0017745690756035214;-0.007023115606331904;-0.01484986159766474;-0.026554620811583697;-0.042973750089407056;-0.005668264072670052;-0.06909071835586392;-0.0585468850582934;1716323050377;Noise
2;0;-0.040332532336880444;-0.046520701501633566;-0.04292208095328648;-0.03729451265982098;-0.03047411963855709;0.0;-0.05659108790501395;-0.04604725460744344;1716323050393;Noise
3;1;-0.03215364989491831;-0.02668675247377017;-0.026997478375505146;-0.037239489290726624;-0.04408573540280857;-0.012730419855518203;-0.0701264096511933;-0.059638652456905805;1716323050473;Noise
4;1;-0.04736316753881065;-0.04603012724192146;-0.03921045291731362;-0.03866078031594444;-0.04478611448871087;-0.017628495815749948;-0.07080580788212575;-0.060368404739765874;1716323050473;Noise
5;2;-0.0414185848629991;-0.03919250822261766;-0.036490047532395486;-0.04023625201213221;-0.04534878287199295;-0.021305867486827362;-0.07127577903345016;-0.06087843025057817;1716323050473;Noise
6;2;-0.0433910408437832;-0.03803019933261975;-0.03247768402296991;-0.0365492395828273;-0.04588551128913049;-0.024256920105857952;-0.0716007915504375;-0.061243878597143746;1716323050473;Noise
7;3;-0.0423430734070962;-0.03866870328429073;-0.03193965942295485;-0.03351511669156437;-0.046259351977684;-0.02659418734949813;-0.07180640392914193;-0.06149221562596858;1716323050473;Noise
8;3;-0.03850752719208117;-0.03644930418221293;-0.03145378794371112;-0.03276066248578502;-0.04642262117635839;-0.028410366449705553;-0.07193648522995494;-0.061655103354552605;1716323050473;Noise
9;4;-0.0361539271458966;-0.03325064587652449;-0.028815099119299248;-0.0310306864139136;-0.046498915194430536;-0.029906110674009966;-0.07201125336766565;-0.06177831819373912;1716323050473;Noise
10;4;-0.034755045911822435;-0.03161200438614742;-0.026642349216857042;-0.028325379108171234;-0.046606489759912266;-0.03122943041747133;-0.07204940037670171;-0.06184011634837756;1716323050473;Noise
11;5;-0.03207879477087516;-0.029746214176892494;-0.025499110426522975;-0.026784565226421364;-0.046794935984550465;-0.03244670147581241;-0.07205130772715351;-0.061871778365877504;1716323050473;Noise
12;5;-0.029441811678353247;-0.02678112561134327;-0.02340246564544657;-0.025547984240169797;-0.04691357318265265;-0.03348239277114179;-0.07202765658155115;-0.06187940776768472;1716323050489;Noise
13;6;-0.027965105561605696;-0.024397129291735098;-0.02061594864140659;-0.023227393500370397;-0.04690289202012255;-0.034343752235176314;-0.0719776839997139;-0.0618893259900341;1716323050505;Noise
14;6;-0.026301573471371853;-0.022845269522072442;-0.01860779196545792;-0.020760317946205475;-0.046828123882411844;-0.03506320482559665;-0.0719155043749851;-0.061854612211811266;1716323050521;Noise
15;7;-0.02387361348318251;-0.020880375490669678;-0.01698592893438189;-0.018999282237061266;-0.04682621653196004;-0.035731540423908636;-0.07185713945115992;-0.06181188756169087;1716323050537;Noise
16;7;-0.021744117108731587;-0.018643426749825665;-0.014985065867662684;-0.017260636006398045;-0.04694256490952006;-0.03644603390315428;-0.07179572276661184;-0.061760770569582533;1716323050537;Noise
17;8;-0.02007356590209497;-0.016877831455900605;-0.013043473583479681;-0.015181967177639422;-0.04702000333786329;-0.037087666595141025;-0.07170226259447346;-0.06172300503063682;1716323050553;Noise
18;8;-0.018085368015960057;-0.01518014709279214;-0.011468778439052585;-0.013340180128494694;-0.04693722432825501;-0.03754924540447751;-0.07160727654197363;-0.06164137043129962;1716323050553;Noise
19;9;-0.015918542911066424;-0.013092166434518049;-0.009766016672031697;-0.011806631038950854;-0.046812102138616696;-0.037964666332880335;-0.07151267195956418;-0.06156889111413109;1716323050553;Noise
20;9;-0.014162668756767971;-0.011102350990000787;-0.007853679421643278;-0.01013760162946653;-0.046773192189399904;-0.03838123167155425;-0.07141883031733544;-0.06150785589967337;1716323050553;Noise
