Timestamp;EEG_O1_VAL;EEG_O2_VAL;EEG_T3_VAL;EEG_T4_VAL;LABEL;TIMESTAMP_MS
2023-09-12 22:39:16;2,28929E-08;5,75617E-05;-2,00645E-05;1,30229E-05;RELAX;1694551156832
2023-09-12 22:39:17;-8,88769E-06;7,17015E-06;6,38673E-05;2,63186E-05;RELAX;1694551157031
2023-09-12 22:39:17;1,29844E-05;-6,45466E-06;4,71224E-05;5,83084E-06;RELAX;1694551157133
2023-09-12 22:39:17;9,21728E-06;2,13182E-06;3,36573E-05;-1,33838E-05;RELAX;1694551157334
2023-09-12 22:39:17;5,68811E-06;1,63604E-05;-3,65163E-06;-5,83613E-06;RELAX;1694551157434
2023-09-12 22:39:17;2,00002E-06;7,31116E-05;6,55786E-06;8,29377E-06;RELAX;1694551157533
2023-09-12 22:39:17;-1,70935E-05;3,21224E-05;-8,58794E-06;3,79039E-06;RELAX;1694551157634
2023-09-12 22:39:17;-1,99996E-05;-3,77513E-05;1,16164E-05;0.0000002239147673873689;RELAX;1694551157834
2023-09-12 22:39:17;9,49215E-06;-2,82121E-05;-6,09257E-06;-0.0000008383937027641505;RELAX;1694551157934
2023-09-12 22:39:18;2,02721E-05;-4,26689E-05;-2,89564E-05;0.00000010572421997871902;RELAX;1694551158034
2023-09-12 22:39:18;2,4928E-05;1,53811E-06;-2,03393E-05;-9,45167E-06;RELAX;1694551158135
2023-09-12 22:39:18;2,47832E-05;4,0958E-05;1,30194E-05;1,485E-06;RELAX;1694551158336
2023-09-12 22:39:18;4,69473E-05;-2,32358E-05;-6,64128E-06;-3,52622E-06;RELAX;1694551158435
2023-09-12 22:39:18;-4,43928E-06;6,10481E-06;6,1553E-06;8,37571E-06;RELAX;1694551158535
2023-09-12 22:39:18;-1,22658E-05;4,41434E-06;-1,60189E-05;5,37575E-06;RELAX;1694551158635
2023-09-12 22:39:18;-2,31154E-05;2,85148E-05;3,54869E-05;9,14265E-06;BLINK;1694551158837
2023-09-12 22:39:18;1,56376E-06;1,58793E-05;8,22718E-06;7,14966E-06;BLINK;1694551158938
2023-09-12 22:39:19;3,02287E-05;4,39785E-05;2,70738E-05;8,22957E-06;BLINK;1694551159038
