experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
20240130101353;20240130_10:57:48,695;1706651868695;-0,0746047;-0,135329;0,568315;0,0730449;;;;;RELAX
20240130101353;20240130_10:57:48,714;1706651868714;0,916731;0,539303;0,205522;0,925399;;;;;RELAX
20240130101353;20240130_10:57:48,729;1706651868729;0,509533;0,764112;0,432312;0,473417;;;;;RELAX
20240130101353;20240130_10:57:48,747;1706651868747;-0,167661;0,377232;0,297144;0,813842;;;;;RELAX
20240130101353;20240130_10:57:48,763;1706651868763;0,382277;0,027743;1,08633;0,373685;;;;;RELAX
20240130101353;20240130_10:57:48,776;1706651868776;0,408309;0,369094;1,08633;0,373685;;;;;RELAX
20240130101353;20240130_10:57:48,793;1706651868793;0,408309;0,141379;0,661112;0,225907;;;;;RELAX
20240130101353;20240130_10:57:48,813;1706651868813;0,834736;0,252052;-0,142533;0,0439615;;;;;RELAX
20240130101353;20240130_10:57:48,826;1706651868826;-0,344822;0,0895033;-0,0673219;-0,870775;;;;;RELAX
20240130101353;20240130_10:57:48,847;1706651868847;1,06505;0,389509;-0,798442;-0,419105;;;;;RELAX
20240130101353;20240130_10:57:48,863;1706651868863;1,02297;0,01522;-0,264725;-0,0442241;;;;;RELAX
20240130101353;20240130_10:57:48,877;1706651868877;1,39537;0,01283;-0,225972;-0,254513;;;;;RELAX
20240130101353;20240130_10:57:48,893;1706651868893;0,426363;0,884533;-0,366039;-0,152456;;;;;RELAX
20240130101353;20240130_10:57:48,910;1706651868910;0,054383;0,042991;-0,192342;-0,216889;;;;;RELAX
20240130101353;20240130_10:57:48,929;1706651868929;0,774462;0,015654;-1,19552;-0,646333;;;;;RELAX
20240130101353;20240130_10:57:48,945;1706651868945;0,519415;-0,041474;-1,34926;-0,583048;;;;;RELAX
20240130101353;20240130_10:57:48,970;1706651868970;0,813845;0,409374;0,251542;0,0152121;;;;;RELAX
20240130101353;20240130_10:57:48,994;1706651868994;-0,283227;0,371217;-0,939251;0,122166;;;;;RELAX
20240130101353;20240130_10:57:49,010;1706651869010;0,472401;1,21732;0,572406;0,698181;;;;;RELAX
20240130101353;20240130_10:57:49,029;1706651869029;0,782531;0,12303;0,547818;-0,0007123;;;;;RELAX
20240130101353;20240130_10:57:49,047;1706651869047;-1,83954;-0,14706;-1,77019;-1,27013;;;;;RELAX
20240130101353;20240130_10:57:49,061;1706651869061;-2,57649;-1,63435;-1,77324;-1,64619;;;;;RELAX
20240130101353;20240130_10:57:49,076;1706651869076;-0,528627;-0,905297;-0,767409;-0,057256;;;;;RELAX
20240130101353;20240130_10:57:49,093;1706651869093;-0,136622;-0,660437;-0,127078;-0,414077;;;;;RELAX
20240130101353;20240130_10:57:49,119;1706651869119;-0,321134;0,251706;-0,423855;-0,273091;;;;;RELAX
20240130101353;20240130_10:57:49,148;1706651869148;-0,872568;-0,12217;-0,989499;-0,18695;;;;;RELAX
20240130101353;20240130_10:57:49,160;1706651869160;0,0124188;-0,596749;-0,600948;-0,953653;;;;;RELAX
20240130101353;20240130_10:57:49,176;1706651869176;0,045758;0,549013;0,580667;0,0498399;;;;;RELAX
20240130101353;20240130_10:57:49,193;1706651869193;-0,666945;-0,0879706;-0,278992;-0,0708427;;;;;RELAX
