experiment;timestamp;timestamp_ms;signal_eeg_01;signal_eeg_02;signal_eeg_t3;signal_eeg_t4;resistance_eeg_01;resistance_eeg_02;resistance_eeg_t3;resistance_eeg_t4;label
20240130101353;20240130_10:57:02,675;1706651822675;-0,263664;0,441634;-0,482505;-1,31308;;;;;BLINK
20240130101353;20240130_10:57:02,694;1706651822694;-1,69345;-1,45817;-0,092827;-2,02968;;;;;BLINK
20240130101353;20240130_10:57:02,713;1706651822713;-0,574885;-0,560893;-0,0115674;-0,797925;;;;;BLINK
20240130101353;20240130_10:57:02,732;1706651822732;-0,079714;-0,638373;-1,41134;-1,77156;;;;;BLINK
20240130101353;20240130_10:57:02,743;1706651822743;-0,398249;-0,269443;0,129608;-1,47237;;;;;BLINK
20240130101353;20240130_10:57:02,759;1706651822759;-0,993301;-1,35356;0,072718;-2,10696;;;;;BLINK
20240130101353;20240130_10:57:02,777;1706651822777;-0,675398;-0,371486;-0,341045;-0,18354;;;;;BLINK
20240130101353;20240130_10:57:02,794;1706651822794;-0,675398;-0,371486;-0,341045;-0,18354;;;;;BLINK
20240130101353;20240130_10:57:02,813;1706651822813;-0,15078;-0,720719;-0,965464;-1,96712;;;;;BLINK
20240130101353;20240130_10:57:02,828;1706651822828;-0,13055;-0,11347;-0,12709;-2,16321;;;;;BLINK
20240130101353;20240130_10:57:02,846;1706651822846;-1,76523;-1,68789;-1,30613;-0,14642;;;;;BLINK
20240130101353;20240130_10:57:02,861;1706651822861;-1,17208;-1,28588;-1,00968;-2,18569;;;;;BLINK
20240130101353;20240130_10:57:02,878;1706651822878;-0,300765;-0,861129;-1,03577;-0,070082;;;;;BLINK
20240130101353;20240130_10:57:02,894;1706651822894;-0,650295;0,0697368;-0,342589;-0,621914;;;;;BLINK
20240130101353;20240130_10:57:02,911;1706651822911;-1,59723;-1,85029;-0,088742;-1,56688;;;;;BLINK
20240130101353;20240130_10:57:02,930;1706651822930;-2,27893;-2,39744;-0,19141;-1,69184;;;;;BLINK
20240130101353;20240130_10:57:02,943;1706651822943;-3,68446;-3,01868;-2,50421;-2,18403;;;;;BLINK
20240130101353;20240130_10:57:02,960;1706651822960;-7,08618;-0,77041;-5,95479;-0,64072;;;;;BLINK
20240130101353;20240130_10:57:02,977;1706651822977;-9,83959;-9,54256;-8,76073;-8,44386;;;;;BLINK
20240130101353;20240130_10:57:02,994;1706651822994;-9,30399;-8,96944;-8,60916;-7,43792;;;;;BLINK
20240130101353;20240130_10:57:03,015;1706651823015;-7,32598;-6,76963;-6,16631;-5,60927;;;;;BLINK
20240130101353;20240130_10:57:03,028;1706651823028;-6,06451;-5,23558;-3,89261;-0,41984;;;;;BLINK
20240130101353;20240130_10:57:03,044;1706651823044;-0,007733;0,512182;0,0748005;-0,230063;;;;;BLINK
20240130101353;20240130_10:57:03,061;1706651823061;-0,419602;1,00431;0,0805983;-0,435127;;;;;BLINK
20240130101353;20240130_10:57:03,078;1706651823078;1,13423;1,36291;1,24251;0,912661;;;;;BLINK
20240130101353;20240130_10:57:03,094;1706651823094;2,87184;3,50264;0,31519;1,43345;;;;;BLINK
20240130101353;20240130_10:57:03,111;1706651823111;3,37917;3,79856;3,61184;2,34688;;;;;BLINK
20240130101353;20240130_10:57:03,130;1706651823130;2,77601;2,82525;2,93698;0,094152;;;;;BLINK
20240130101353;20240130_10:57:03,146;1706651823146;0,23086;2,50796;3,23913;0,778523;;;;;BLINK
20240130101353;20240130_10:57:03,161;1706651823161;1,97643;2,14428;1,99661;1,31302;;;;;BLINK
20240130101353;20240130_10:57:03,177;1706651823177;2,81944;1,89074;2,78037;0,926154;;;;;BLINK
20240130101353;20240130_10:57:03,194;1706651823194;2,01739;1,18311;2,10984;0,745858;;;;;BLINK
20240130101353;20240130_10:57:03,212;1706651823212;0,502198;1,00762;1,57888;-0,333128;;;;;BLINK
20240130101353;20240130_10:57:03,227;1706651823227;-0,174159;0,208511;0,925882;-0,239995;;;;;BLINK
20240130101353;20240130_10:57:03,244;1706651823244;2,01518;0,700031;1,07552;0,791396;;;;;BLINK
20240130101353;20240130_10:57:03,262;1706651823262;2,43262;0,742111;1,76533;0,341093;;;;;BLINK
20240130101353;20240130_10:57:03,278;1706651823278;2,10415;1,88164;1,67495;0,867271;;;;;BLINK
20240130101353;20240130_10:57:03,293;1706651823293;-0,244226;-0,397411;1,05095;-0,0541204;;;;;BLINK
20240130101353;20240130_10:57:03,312;1706651823312;0,018441;0,515178;1,27161;0,806492;;;;;BLINK
20240130101353;20240130_10:57:03,328;1706651823328;1,45549;1,45723;1,43018;1,12548;;;;;BLINK
20240130101353;20240130_10:57:03,342;1706651823342;2,31169;1,96058;1,79856;1,27785;;;;;BLINK
20240130101353;20240130_10:57:03,361;1706651823361;1,27085;1,73169;1,96242;1,31738;;;;;BLINK
20240130101353;20240130_10:57:03,376;1706651823376;1,96515;2,38731;1,27117;1,41152;;;;;BLINK
20240130101353;20240130_10:57:03,396;1706651823396;1,83222;0,296226;1,07575;0,630016;;;;;BLINK
20240130101353;20240130_10:57:03,412;1706651823412;1,74584;0,957827;1,12811;-0,043756;;;;;BLINK
20240130101353;20240130_10:57:03,428;1706651823428;1,42529;0,854021;0,627918;-0,359279;;;;;BLINK
20240130101353;20240130_10:57:03,443;1706651823443;0,935218;0,464124;1,11313;-0,062072;;;;;BLINK
20240130101353;20240130_10:57:03,463;1706651823463;0,16111;1,35939;1,06461;0,190613;;;;;BLINK
20240130101353;20240130_10:57:03,478;1706651823478;2,10918;1,48401;1,62872;-0,0749847;;;;;BLINK
20240130101353;20240130_10:57:03,496;1706651823496;2,11214;1,13744;1,09555;-0,933388;;;;;BLINK
20240130101353;20240130_10:57:03,514;1706651823514;1,52732;0,548993;1,01523;-1,03517;;;;;BLINK
20240130101353;20240130_10:57:03,528;1706651823528;3,01798;1,47619;1,43757;0,255787;;;;;BLINK
20240130101353;20240130_10:57:03,546;1706651823546;2,59306;1,39101;1,05204;-0,139783;;;;;BLINK
20240130101353;20240130_10:57:03,561;1706651823561;0,130472;-0,114942;-0,099354;-1,60506;;;;;BLINK
20240130101353;20240130_10:57:03,581;1706651823581;0,239158;0,195329;-2,06303;-1,62416;;;;;BLINK
20240130101353;20240130_10:57:03,595;1706651823595;-0,088549;-1,25718;-2,27046;-1,49086;;;;;BLINK
20240130101353;20240130_10:57:03,611;1706651823611;-1,29733;-0,753949;-2,20805;-0,15446;;;;;BLINK
20240130101353;20240130_10:57:03,626;1706651823626;-1,23281;-0,610035;-2,20805;-0,15446;;;;;BLINK
20240130101353;20240130_10:57:03,644;1706651823644;-1,14369;0,182035;-1,37077;-0,13017;;;;;BLINK
20240130101353;20240130_10:57:03,666;1706651823666;-0,672829;-0,147708;-1,90449;-1,43188;;;;;BLINK
20240130101353;20240130_10:57:03,676;1706651823676;-0,503247;-0,714607;-1,68962;-1,43188;;;;;BLINK
20240130101353;20240130_10:57:03,693;1706651823693;0,707281;0,916334;-0,657534;-0,069503;;;;;BLINK
20240130101353;20240130_10:57:03,711;1706651823711;-0,957951;-1,29711;-2,44018;-1,12471;;;;;BLINK
20240130101353;20240130_10:57:03,727;1706651823727;-1,57324;-1,14168;-1,53526;-1,19248;;;;;BLINK
20240130101353;20240130_10:57:03,742;1706651823742;-0,545255;-0,694495;-1,46301;-0,13887;;;;;BLINK
20240130101353;20240130_10:57:03,762;1706651823762;-1,50625;-1,08294;-2,27071;-1,10904;;;;;BLINK
20240130101353;20240130_10:57:03,778;1706651823778;-0,807413;-0,978501;-1,75852;-0,837912;;;;;BLINK
20240130101353;20240130_10:57:03,793;1706651823793;-0,715007;-0,978501;-1,75852;-0,938422;;;;;BLINK
20240130101353;20240130_10:57:03,809;1706651823809;-0,941247;-0,347692;-1,88643;-0,868886;;;;;BLINK
20240130101353;20240130_10:57:03,827;1706651823827;-0,889809;-0,747058;-1,63729;-1,50529;;;;;BLINK
20240130101353;20240130_10:57:03,844;1706651823844;-1,38984;-1,87024;-2,16697;-1,36147;;;;;BLINK
20240130101353;20240130_10:57:03,863;1706651823863;-0,730077;-1,70522;-1,78968;-1,89665;;;;;BLINK
20240130101353;20240130_10:57:03,878;1706651823878;0,00696017;-0,734777;-1,35634;-1,24308;;;;;BLINK
20240130101353;20240130_10:57:03,893;1706651823893;0,0206965;-0,765898;-1,23885;-0,746792;;;;;BLINK
20240130101353;20240130_10:57:03,909;1706651823909;-1,04937;-1,55266;-2,00779;-1,19953;;;;;BLINK
